player,Var.25,tournament name,course,date,purse,season,no_cut,Finish,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total
Abraham Ancer,9,Tour Championship,"East Lake Golf Club - Atlanta, GA",05/09/2021,9,2021,1,T9,0.16,-0.33,0.59,-0.11,0.15,0.31
Bryson DeChambeau,9,Tour Championship,"East Lake Golf Club - Atlanta, GA",05/09/2021,9,2021,1,7,-0.18,-0.36,-0.18,1.03,0.49,0.31
Billy Horschel,9,Tour Championship,"East Lake Golf Club - Atlanta, GA",05/09/2021,9,2021,1,T9,0.45,-0.07,0.3,0.64,0.86,1.31
Brooks Koepka,9,Tour Championship,"East Lake Golf Club - Atlanta, GA",05/09/2021,9,2021,1,WD,0.21,-0.21,-0.85,0.59,-0.47,-0.26
Corey Conners,9,Tour Championship,"East Lake Golf Club - Atlanta, GA",05/09/2021,9,2021,1,T22,-0.21,-1.49,0.37,0.64,-0.48,-0.69
Collin Morikawa,9,Tour Championship,"East Lake Golf Club - Atlanta, GA",05/09/2021,9,2021,1,T26,-1.12,-0.22,-0.22,-0.38,-0.82,-1.94
Cameron Smith,9,Tour Championship,"East Lake Golf Club - Atlanta, GA",05/09/2021,9,2021,1,T14,-0.1,0,-0.29,-0.3,-0.59,-0.69
Daniel Berger,9,Tour Championship,"East Lake Golf Club - Atlanta, GA",05/09/2021,9,2021,1,T11,-0.49,0.35,0.7,0.26,1.3,0.81
Dustin Johnson,9,Tour Championship,"East Lake Golf Club - Atlanta, GA",05/09/2021,9,2021,1,8,2.37,-0.32,-0.64,-0.6,-1.56,0.81
Erik van Rooyen,9,Tour Championship,"East Lake Golf Club - Atlanta, GA",05/09/2021,9,2021,1,T22,0.64,-0.33,-0.02,-0.73,-1.08,-0.44
Harris English,9,Tour Championship,"East Lake Golf Club - Atlanta, GA",05/09/2021,9,2021,1,T18,0.09,0.04,-0.05,-0.76,-0.78,-0.69
Hideki Matsuyama,9,Tour Championship,"East Lake Golf Club - Atlanta, GA",05/09/2021,9,2021,1,T26,-0.76,0.84,-1.09,-0.43,-0.68,-1.44
Jason Kokrak,9,Tour Championship,"East Lake Golf Club - Atlanta, GA",05/09/2021,9,2021,1,T11,-0.28,-0.12,0.47,0.24,0.59,0.31
Joaquin Niemann,9,Tour Championship,"East Lake Golf Club - Atlanta, GA",05/09/2021,9,2021,1,29,-1.38,-0.23,-0.88,0.05,-1.06,-2.44
Jon Rahm,9,Tour Championship,"East Lake Golf Club - Atlanta, GA",05/09/2021,9,2021,1,2,0.75,1.2,-0.38,0.75,1.56,2.31
Jordan Spieth,9,Tour Championship,"East Lake Golf Club - Atlanta, GA",05/09/2021,9,2021,1,T20,-0.11,0.11,-1.51,0.32,-1.08,-1.19
Justin Thomas,9,Tour Championship,"East Lake Golf Club - Atlanta, GA",05/09/2021,9,2021,1,4,0.63,0.09,0.86,-0.01,0.93,1.56
Kevin Na,9,Tour Championship,"East Lake Golf Club - Atlanta, GA",05/09/2021,9,2021,1,3,0.73,0.59,1.5,-0.51,1.58,2.31
Louis Oosthuizen,9,Tour Championship,"East Lake Golf Club - Atlanta, GA",05/09/2021,9,2021,1,T14,-0.06,0.43,0.17,-0.72,-0.13,-0.19
Patrick Cantlay,9,Tour Championship,"East Lake Golf Club - Atlanta, GA",05/09/2021,9,2021,1,1,-0.18,0.01,0.79,0.77,1.64,1.46
Patrick Reed,9,Tour Championship,"East Lake Golf Club - Atlanta, GA",05/09/2021,9,2021,1,25,0.55,0.41,-1.3,-0.36,-1.24,-0.69
Rory McIlroy,9,Tour Championship,"East Lake Golf Club - Atlanta, GA",05/09/2021,9,2021,1,T14,0.24,0.22,-0.18,-0.22,-0.18,0.06
Sam Burns,9,Tour Championship,"East Lake Golf Club - Atlanta, GA",05/09/2021,9,2021,1,T18,1.2,-0.76,-1.34,0.22,-1.89,-0.69
Stewart Cink,9,Tour Championship,"East Lake Golf Club - Atlanta, GA",05/09/2021,9,2021,1,T26,-0.34,-0.12,-0.49,-0.48,-1.1,-1.44
Sergio Garcia,9,Tour Championship,"East Lake Golf Club - Atlanta, GA",05/09/2021,9,2021,1,T14,-0.03,-0.29,-0.02,0.9,0.59,0.56
Sungjae Im,9,Tour Championship,"East Lake Golf Club - Atlanta, GA",05/09/2021,9,2021,1,T20,-0.43,-0.3,-0.21,0,-0.51,-0.94
Scottie Scheffler,9,Tour Championship,"East Lake Golf Club - Atlanta, GA",05/09/2021,9,2021,1,T22,-1.5,0.61,-0.11,0.31,0.81,-0.69
Tony Finau,9,Tour Championship,"East Lake Golf Club - Atlanta, GA",05/09/2021,9,2021,1,T11,-1.02,0.04,0.4,-0.61,-0.18,-1.19
Viktor Hovland,9,Tour Championship,"East Lake Golf Club - Atlanta, GA",05/09/2021,9,2021,1,T5,-0.62,0.19,2.02,-0.02,2.18,1.56
Xander Schauffele,9,Tour Championship,"East Lake Golf Club - Atlanta, GA",05/09/2021,9,2021,1,T5,0.91,-0.1,1.17,-0.17,0.9,1.81
Abraham Ancer,10,BMW Championship,"Caves Valley Golf Club - Baltimore, MD",29/08/2021,9.5,2021,1,T9,1.3,-0.17,0.57,0,0.4,1.7
Alexander Noren,10,BMW Championship,"Caves Valley Golf Club - Baltimore, MD",29/08/2021,9.5,2021,1,T9,1.07,0.52,-0.17,0.28,0.64,1.7
Aaron Wise,10,BMW Championship,"Caves Valley Golf Club - Baltimore, MD",29/08/2021,9.5,2021,1,T17,0.67,-0.05,0.46,-0.13,0.28,0.95
Bryson DeChambeau,10,BMW Championship,"Caves Valley Golf Club - Baltimore, MD",29/08/2021,9.5,2021,1,2,2.34,-0.27,-0.13,2.01,1.61,3.95
Branden Grace,10,BMW Championship,"Caves Valley Golf Club - Baltimore, MD",29/08/2021,9.5,2021,1,T52,-0.42,0.26,-0.34,-1.04,-1.12,-1.55
Brian Harman,10,BMW Championship,"Caves Valley Golf Club - Baltimore, MD",29/08/2021,9.5,2021,1,T29,0.07,0.35,-0.2,-0.02,0.13,0.2
Billy Horschel,10,BMW Championship,"Caves Valley Golf Club - Baltimore, MD",29/08/2021,9.5,2021,1,T52,-0.43,0.23,-1,-0.34,-1.11,-1.55
Brooks Koepka,10,BMW Championship,"Caves Valley Golf Club - Baltimore, MD",29/08/2021,9.5,2021,1,T22,-0.28,0.03,0.47,0.49,0.99,0.7
Cameron Champ,10,BMW Championship,"Caves Valley Golf Club - Baltimore, MD",29/08/2021,9.5,2021,1,T66,-0.16,-0.89,-1.93,0.43,-2.39,-2.55
Corey Conners,10,BMW Championship,"Caves Valley Golf Club - Baltimore, MD",29/08/2021,9.5,2021,1,T22,-0.17,0.77,-0.02,0.12,0.87,0.7
Cameron Davis,10,BMW Championship,"Caves Valley Golf Club - Baltimore, MD",29/08/2021,9.5,2021,1,T29,-0.25,0.78,0,-0.33,0.45,0.2
Charley Hoffman,10,BMW Championship,"Caves Valley Golf Club - Baltimore, MD",29/08/2021,9.5,2021,1,T38,0.56,0.08,-0.83,-0.1,-0.85,-0.3
Chris Kirk,10,BMW Championship,"Caves Valley Golf Club - Baltimore, MD",29/08/2021,9.5,2021,1,48,-1.59,0.34,0.59,-0.13,0.79,-0.8
Collin Morikawa,10,BMW Championship,"Caves Valley Golf Club - Baltimore, MD",29/08/2021,9.5,2021,1,T63,-1.29,-0.54,0.12,-0.59,-1.01,-2.3
Carlos Ortiz,10,BMW Championship,"Caves Valley Golf Club - Baltimore, MD",29/08/2021,9.5,2021,1,T66,-2.42,-0.37,0.2,0.04,-0.13,-2.55
Charl Schwartzel,10,BMW Championship,"Caves Valley Golf Club - Baltimore, MD",29/08/2021,9.5,2021,1,T17,-0.07,0.27,0.51,0.25,1.02,0.95
Cameron Smith,10,BMW Championship,"Caves Valley Golf Club - Baltimore, MD",29/08/2021,9.5,2021,1,T34,-0.23,0.1,0.29,-0.2,0.18,-0.05
Cameron Tringale,10,BMW Championship,"Caves Valley Golf Club - Baltimore, MD",29/08/2021,9.5,2021,1,T52,-0.88,0.15,-0.19,-0.62,-0.67,-1.55
Daniel Berger,10,BMW Championship,"Caves Valley Golf Club - Baltimore, MD",29/08/2021,9.5,2021,1,T26,-0.84,0.76,0.73,-0.2,1.29,0.45
Dustin Johnson,10,BMW Championship,"Caves Valley Golf Club - Baltimore, MD",29/08/2021,9.5,2021,1,T6,1.45,0.3,-0.4,0.85,0.75,2.2
Emiliano Grillo,10,BMW Championship,"Caves Valley Golf Club - Baltimore, MD",29/08/2021,9.5,2021,1,T46,-0.44,-0.57,0.09,0.37,-0.1,-0.55
Erik van Rooyen,10,BMW Championship,"Caves Valley Golf Club - Baltimore, MD",29/08/2021,9.5,2021,1,5,0.37,0,1.63,0.45,2.09,2.45
Harris English,10,BMW Championship,"Caves Valley Golf Club - Baltimore, MD",29/08/2021,9.5,2021,1,T26,0.2,0.04,0.19,0.02,0.25,0.45
Harry Higgs,10,BMW Championship,"Caves Valley Golf Club - Baltimore, MD",29/08/2021,9.5,2021,1,T38,0.12,0.75,-1.46,0.3,-0.41,-0.3
Hideki Matsuyama,10,BMW Championship,"Caves Valley Golf Club - Baltimore, MD",29/08/2021,9.5,2021,1,T46,-0.9,-0.04,0.35,0.04,0.35,-0.55
Hudson Swafford,10,BMW Championship,"Caves Valley Golf Club - Baltimore, MD",29/08/2021,9.5,2021,1,T17,1.5,-0.36,0.56,-0.75,-0.55,0.95
Harold Varner III,10,BMW Championship,"Caves Valley Golf Club - Baltimore, MD",29/08/2021,9.5,2021,1,T12,-0.23,0.21,1.28,0.2,1.69,1.45
Jason Kokrak,10,BMW Championship,"Caves Valley Golf Club - Baltimore, MD",29/08/2021,9.5,2021,1,T15,1.03,-0.46,0.84,-0.2,0.17,1.2
Joaquin Niemann,10,BMW Championship,"Caves Valley Golf Club - Baltimore, MD",29/08/2021,9.5,2021,1,T29,-0.89,-0.26,0.98,0.37,1.09,0.2
Jon Rahm,10,BMW Championship,"Caves Valley Golf Club - Baltimore, MD",29/08/2021,9.5,2021,1,T9,1.72,-0.51,0.07,0.42,-0.02,1.7
Jordan Spieth,10,BMW Championship,"Caves Valley Golf Club - Baltimore, MD",29/08/2021,9.5,2021,1,T34,0.2,0.04,0.1,-0.39,-0.25,-0.05
Justin Thomas,10,BMW Championship,"Caves Valley Golf Club - Baltimore, MD",29/08/2021,9.5,2021,1,T22,-0.48,0.4,0.52,0.26,1.18,0.7
Jhonattan Vegas,10,BMW Championship,"Caves Valley Golf Club - Baltimore, MD",29/08/2021,9.5,2021,1,T38,-0.2,-0.53,0.43,0,-0.1,-0.3
Keegan Bradley,10,BMW Championship,"Caves Valley Golf Club - Baltimore, MD",29/08/2021,9.5,2021,1,T60,-1.53,-0.6,0.65,-0.57,-0.51,-2.05
Kevin Kisner,10,BMW Championship,"Caves Valley Golf Club - Baltimore, MD",29/08/2021,9.5,2021,1,T66,-1.86,0.82,-1.04,-0.46,-0.69,-2.55
Kyoung-Hoon Lee,10,BMW Championship,"Caves Valley Golf Club - Baltimore, MD",29/08/2021,9.5,2021,1,T12,0.35,-0.28,1.18,0.19,1.1,1.45
Keith Mitchell,10,BMW Championship,"Caves Valley Golf Club - Baltimore, MD",29/08/2021,9.5,2021,1,T57,-0.33,-0.67,-0.9,0.11,-1.47,-1.8
Kevin Na,10,BMW Championship,"Caves Valley Golf Club - Baltimore, MD",29/08/2021,9.5,2021,1,T17,0.81,0.14,0.74,-0.73,0.14,0.95
Kevin Streelman,10,BMW Championship,"Caves Valley Golf Club - Baltimore, MD",29/08/2021,9.5,2021,1,T52,-0.42,0.43,-1.24,-0.32,-1.13,-1.55
