country,tariffrate(%)
Aruba,12.12
Afghanistan,5.63
Angola,6.52
Albania,1.02
United Arab Emirates,3.94
Argentina,7.26
Armenia,4.09
Antigua and Barbuda,13.07
Australia,0.77
Austria,1.84
Azerbaijan,11.98
Burundi,8.52
Belgium,1.84
Benin,9.86
Burkina Faso,5.84
Bangladesh,8.64
Bulgaria,1.84
Bahrain,3.5
Bahamas,17.05
Bosnia and Herzegovina,17.89
Belarus,2.82
Belize,11.17
Bermuda,103.17
Bolivia,4.73
Brazil,7.97
Barbados,14.21
Brunei,0.02
Bhutan,4.13
Botswana,0.96
Central African Republic,16.44
Canada,1.51
Switzerland,6.12
Chile,0.43
China,2.53
Cote d'Ivoire,7.69
Cameroon,15.46
DRC,10.83
"Congo, Dem. Rep.",11.55
Colombia,2.92
Comoros,4.24
Cabo Verde,11.55
Costa Rica,1.62
Cuba,8.54
Cayman Islands,16.72
Cyprus,1.84
Czech Republic,1.84
Germany,1.84
Djibouti,17.56
Dominica,8.3
Denmark,1.84
Dominican Republic,4.2
Algeria,9.99
Ecuador,8.11
Egypt,10.43
Eritrea,5.43
Spain,1.84
Estonia,1.84
Ethiopia,12.13
Finland,1.84
Fiji,23.97
France,1.84
Gabon,14.5
United Kingdom,1.84
Georgia,0.67
Ghana,10.02
Guinea,10.9
Gambia,18.08
Guinea-Bissau,11.28
Equatorial Guinea,15.63
Greece,1.84
Grenada,10.79
Guatemala,1.39
Guyana,9.55
Hong Kong ,0
Honduras,3.41
Croatia,1.84
Haiti,6.52
Hungary,1.84
Indonesia,2
India,6.59
Ireland,1.84
Iran,15.43
Iceland,1.53
Israel,1.85
Italy,1.84
Jamaica,10.84
Jordan,4.41
Japan,3.53
Kazakhstan,2.32
Kenya,11.48
Kyrgyzstan,3.09
Cambodia,9.77
St. Kitts and Nevis,21.09
South Korea,4.83
Kuwait,4.51
Laos,0.76
Lebanon,3.33
Liberia,9.54
St. Lucia,16.7
Sri Lanka,13.3
Lesotho,3.35
Lithuania,1.84
Luxembourg,1.84
Latvia,1.84
Morocco,3.6
Moldova,3.54
Madagascar,7.54
Maldives,18.39
Mexico,1.21
North Macedonia,1.94
Mali,7.23
Malta,1.84
Myanmar,1.81
Montenegro,0.99
Mongolia,5.31
Mozambique,4.18
Mauritania,8.03
Mauritius,1.1
Malawi,4.24
Malaysia,4.02
Namibia,1.1
Niger,9.27
Nigeria,8.52
Nicaragua,1.86
Netherlands,1.84
Norway,2.62
Nepal,14.22
Nauru,15.59
New Zealand,0.91
Oman,1.71
Pakistan,8.69
Panama,5.41
Peru,0.73
Philippines,1.68
Palau,118.21
Papua New Guinea,7.75
Poland,1.84
Portugal,1.84
Paraguay,4.98
French Polynesia,4.62
Qatar,3.47
Romania,1.84
Russia,5.34
Rwanda,9.55
Saudi Arabia,4.85
Sudan,11.95
Senegal,9.12
Singapore,0.39
Solomon Islands,17.52
Sierra Leone,10.31
El Salvador,2.04
Serbia,1.44
Sao Tome and Principe,9.97
Suriname,8.72
Slovakia,1.84
Slovenia,1.84
Sweden,1.84
Eswatini,2.38
Seychelles,20.28
Chad,16.36
Togo,10.98
Thailand,3.52
Tajikistan,4.98
Timor-Leste,2.5
Tonga,5.53
Tunisia,9.35
Turkey,3.13
Tuvalu,2.43
Tanzania,8.37
Uganda,8.05
Ukraine,5.33
Uruguay,5.33
United States,13.78
Uzbekistan,8.73
St. Vincent and the Grenadines,8.84
Venezuela,10.19
Vietnam,1.66
Vanuatu,8.34
Samoa,10.85
Yemen,5.03
South Africa,5.37
Zambia,3.39
Zimbabwe,4.99
