Year,Tariff rate (%),GDP (current US$)
1988,4.79,1.9348E+13
1989,6.23,2.0148E+13
1990,6.82,2.27172E+13
1991,6.14,2.37041E+13
1992,7.17,2.54151E+13
1993,7.42,2.58659E+13
1994,8.57,2.79382E+13
1995,6.44,3.11321E+13
1996,6.15,3.18485E+13
1997,5.42,3.17684E+13
1998,5.22,3.17483E+13
1999,5.21,3.30308E+13
2000,4.96,3.41786E+13
2001,5.38,3.40558E+13
2002,4.56,3.55607E+13
2003,4.57,4.01851E+13
2004,3.72,4.55167E+13
2005,3.5,4.9623E+13
2006,3.16,5.42281E+13
2007,3.38,6.18364E+13
2008,3.31,6.88776E+13
2009,3.2,6.62874E+13
2010,3.3,7.30176E+13
2011,3.53,8.14928E+13
2012,2.89,7.5356E+13
2013,3.04,7.74274E+13
2014,2.87,7.95311E+13
2015,3.06,7.51008E+13
2016,2.98,7.6294E+13
2017,2.59,8.11819E+13
